Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multimedia information technologies in education: Basic concepts, essence, and typology (Review)",Automatic Documentation and Mathematical Linguistics,,44,4,10.3103/S0005105510040047,T. V. Lyashenko,2010,http://link.springer.com/article/10.3103/S0005105510040047,Article
Determinants of innovative behavioral intention: Moderating role of real name policy in online community,Journal of Service Science Research,,6,2,10.1007/s12927-014-0009-1,Shasha Li,2014,http://link.springer.com/article/10.1007/s12927-014-0009-1,Article
The synthetic biology puzzle: a qualitative study on public reflections towards a governance framework,Systems and Synthetic Biology,,9,4,10.1007/s11693-015-9182-x,Johannes StarkbaumMatthias BraunPeter Dabrock,2015,http://link.springer.com/article/10.1007/s11693-015-9182-x,Article
A new multi-criteria optimization strategy for shared control in wheelchair assisted navigation,Autonomous Robots,,30,2,10.1007/s10514-010-9211-2,C. UrdialesJ. M. PeulaM. Fdez-CarmonaC. BarruéE. J. PérezI. Sánchez-TatoJ. C. del ToroF. GalluppiU. CortésR. AnnichiariccoC. CaltagironeF. Sandoval,2011,http://link.springer.com/article/10.1007/s10514-010-9211-2,Article
Versioned linking of semantic enrichment of legal documents,Artificial Intelligence and Law,,21,4,10.1007/s10506-013-9145-z,Ákos SzőkeAndrás FörhéczGábor KőrösiGyörgy Strausz,2013,http://link.springer.com/article/10.1007/s10506-013-9145-z,Article
Understanding the moderating roles of types of recommender systems and products on customer behavioral intention to use recommender systems,Information Systems and e-Business Management,,13,4,10.1007/s10257-014-0269-9,Yen-Yao WangAndy LuseAnthony M. TownsendBrian E. Mennecke,2015,http://link.springer.com/article/10.1007/s10257-014-0269-9,Article
AutoTutor and Family: A Review of 17 Years of Natural Language Tutoring,International Journal of Artificial Intelligence in Education,,24,4,10.1007/s40593-014-0029-5,Benjamin D. NyeArthur C. GraesserXiangen Hu,2014,http://link.springer.com/article/10.1007/s40593-014-0029-5,Article
Smart technology for self-organizing processes,Smart Learning Environments,,1,1,10.1186/s40561-014-0001-8,Marlene ScardamaliaCarl Bereiter,2014,http://link.springer.com/article/10.1186/s40561-014-0001-8,Article
Convergent networked decision-making using group insights,Complex & Intelligent Systems,,1,1 - 4,10.1007/s40747-016-0005-9,Alexander Raikov,2015,http://link.springer.com/article/10.1007/s40747-016-0005-9,Article
Mitigating the linkability problem in anonymous reputation management,Journal of Internet Services and Applications,,2,1,10.1007/s13174-011-0020-4,M. HussainD. B. Skillicorn,2011,http://link.springer.com/article/10.1007/s13174-011-0020-4,Article
An exploratory research on advanced smart media security design for sustainable intelligence information system,Multimedia Tools and Applications,,,,10.1007/s11042-014-2393-4,Wonhyung ParkOnechul NaHangbae Chang,2014,http://link.springer.com/article/10.1007/s11042-014-2393-4,Article
Grounding Ontologies with Social Processes and Natural Language,Journal on Data Semantics,,2,2 - 3,10.1007/s13740-013-0023-3,Christophe DebruyneTrung-Kien TranRobert Meersman,2013,http://link.springer.com/article/10.1007/s13740-013-0023-3,Article
Taxonomy of ubiquitous computing service for city development,Personal and Ubiquitous Computing,,17,7,10.1007/s00779-012-0583-5,Choon Seong LeemByoung Gun Kim,2013,http://link.springer.com/article/10.1007/s00779-012-0583-5,Article
The pursuit of computational justice in open systems,AI & SOCIETY,,30,3,10.1007/s00146-013-0531-6,Jeremy PittDídac BusquetsRégis Riveret,2015,http://link.springer.com/article/10.1007/s00146-013-0531-6,Article
From Interactive Open Learner Modelling to Intelligent Mentoring: STyLE-OLM and Beyond,International Journal of Artificial Intelligence in Education,,26,1,10.1007/s40593-015-0087-3,Vania DimitrovaPaul Brna,2016,http://link.springer.com/article/10.1007/s40593-015-0087-3,Article
Factors influencing network risk judgments: a conceptual inquiry and exploratory analysis,Security Informatics,,4,1,10.1186/s13388-015-0016-x,Jennifer CowleyFrank L. GreitzerBronwyn Woods,2015,http://link.springer.com/article/10.1186/s13388-015-0016-x,Article
The Korean Bird Information System (KBIS) through open and public participation,BMC Bioinformatics,,10,15,10.1186/1471-2105-10-S15-S11,In-Hwan PaikJeongheui LimByung-Sun ChunSeon-Duck JinJae-Pyoung YuJoon-Woo LeeJong BhakWoon-Kee Paek,2009,http://link.springer.com/article/10.1186/1471-2105-10-S15-S11,Article
Variation in research collaboration patterns across academic ranks,Scientometrics,,98,3,10.1007/s11192-013-1185-3,Giovanni AbramoCiriaco Andrea D’AngeloGianluca Murgia,2014,http://link.springer.com/article/10.1007/s11192-013-1185-3,Article
Determining the antecedents of digital security practices in the general public dimension,Information Technology and Management,,14,2,10.1007/s10799-012-0147-4,Tabitha JamesQuinton NottinghamByung Cho Kim,2013,http://link.springer.com/article/10.1007/s10799-012-0147-4,Article
University Presses in the Digital Age: How Pace University Press and Other University Presses Can Survive and Thrive,Publishing Research Quarterly,,30,2,10.1007/s12109-014-9362-7,Jennifer Clare,2014,http://link.springer.com/article/10.1007/s12109-014-9362-7,Article
"FrameNet, current collaborations and future goals",Language Resources and Evaluation,,46,2,10.1007/s10579-012-9191-2,Collin F. Baker,2012,http://link.springer.com/article/10.1007/s10579-012-9191-2,Article
International development: exploring the gap between organisations’ development policy and practice—a Southern perspective,AI & SOCIETY,,29,2,10.1007/s00146-013-0477-8,Denis DennehyMike FitzgibbonFergal Carton,2014,http://link.springer.com/article/10.1007/s00146-013-0477-8,Article
Toward a standardized supplier code of ethics: development of a design concept based on diffusion of innovation theory,Logistics Research,,6,4,10.1007/s12159-013-0109-1,Martin C. SchleperChristian Busse,2013,http://link.springer.com/article/10.1007/s12159-013-0109-1,Article
The effects and moderators of cyber-loafing controls: an empirical study of Chinese public servants,Information Technology and Management,,14,4,10.1007/s10799-013-0164-y,Jijie WangJun TianZhen Shen,2013,http://link.springer.com/article/10.1007/s10799-013-0164-y,Article
Virtual learning: Possibilities and realization,Education and Information Technologies,,,,10.1007/s10639-015-9397-1,Nurassyl Kerimbayev,2015,http://link.springer.com/article/10.1007/s10639-015-9397-1,Article
Discourse ethics for computer ethics: a heuristic for engaged dialogical reflection,Ethics and Information Technology,,17,1,10.1007/s10676-014-9359-0,William Rehg,2015,http://link.springer.com/article/10.1007/s10676-014-9359-0,Article
"Editorial on EAIT 2015, Issue 3 “Computers and Education around the World”",Education and Information Technologies,,20,3,10.1007/s10639-015-9408-2,Arthur Tatnall,2015,http://link.springer.com/article/10.1007/s10639-015-9408-2,Article
Successful failure: what Foucault can teach us about privacy self-management in a world of Facebook and big data,Ethics and Information Technology,,17,2,10.1007/s10676-015-9363-z,Gordon Hull,2015,http://link.springer.com/article/10.1007/s10676-015-9363-z,Article
The use of serious games in science education: a review of selected empirical research from 2002 to 2013,Journal of Computers in Education,,2,3,10.1007/s40692-015-0039-9,Meng-Tzu ChengJhih-Hao ChenSheng-Ju ChuShin-Yen Chen,2015,http://link.springer.com/article/10.1007/s40692-015-0039-9,Article
Not just another focus group: making the case for the nominal group technique in criminology,Crime Science,,4,1,10.1186/s40163-014-0016-z,Freya Vander Laenen,2015,http://link.springer.com/article/10.1186/s40163-014-0016-z,Article
Better decision support through exploratory discrimination-aware data mining: foundations and empirical evidence,Artificial Intelligence and Law,,22,2,10.1007/s10506-013-9152-0,Bettina BerendtSören Preibusch,2014,http://link.springer.com/article/10.1007/s10506-013-9152-0,Article
Service recovery: Literature review and research issues,Journal of Service Science Research,,3,1,10.1007/s12927-011-0004-8,Anupam KrishnaG. S. DangayachRakesh Jain,2011,http://link.springer.com/article/10.1007/s12927-011-0004-8,Article
IKARUS-Onto: a methodology to develop fuzzy ontologies from crisp ones,Knowledge and Information Systems,,32,3,10.1007/s10115-011-0457-6,Panos AlexopoulosManolis WallaceKonstantinos KafentzisDimitris Askounis,2012,http://link.springer.com/article/10.1007/s10115-011-0457-6,Article
Security-enhanced ambient assisted living supporting school activities during hospitalisation,Journal of Ambient Intelligence and Humanized Computing,,3,3,10.1007/s12652-010-0039-6,Pablo AntónAntonio MuñozAntonio MañaHristo Koshutanski,2012,http://link.springer.com/article/10.1007/s12652-010-0039-6,Article
The Future of Academic Publishing: Application of the Long-Tail Theory,Publishing Research Quarterly,,25,4,10.1007/s12109-009-9134-y,Thomas HP Gould,2009,http://link.springer.com/article/10.1007/s12109-009-9134-y,Article
Understanding student participation in undergraduate course communities: A case study,Information Systems Frontiers,,18,1,10.1007/s10796-015-9573-2,Francisco J. GutierrezSergio F. OchoaGustavo ZuritaNelson Baloian,2016,http://link.springer.com/article/10.1007/s10796-015-9573-2,Article
Investigating the success of operational business process management systems,Information Technology and Management,,14,4,10.1007/s10799-013-0167-8,Stephan PoelmansHajo A. ReijersJan Recker,2013,http://link.springer.com/article/10.1007/s10799-013-0167-8,Article
Gaming on the move: urban experience as a new paradigm for mobile pervasive game design,Multimedia Systems,,16,1,10.1007/s00530-009-0172-2,Annie GentesAude Guyot-MbodjiIsabelle Demeure,2010,http://link.springer.com/article/10.1007/s00530-009-0172-2,Article
"An examination of the relationship between international telecommunication networks, terrorism and global news coverage",Social Network Analysis and Mining,,3,3,10.1007/s13278-013-0117-9,George A. BarnettJeanette B. RuizJesse R. HammondZhige Xin,2013,http://link.springer.com/article/10.1007/s13278-013-0117-9,Article
A soft multi-criteria decision analysis model with application to the European Union enlargement,Annals of Operations Research,,181,1,10.1007/s10479-010-0727-9,Madjid TavanaMariya A. SodenkampLeena Suhl,2010,http://link.springer.com/article/10.1007/s10479-010-0727-9,Article
A Social Virtual Reality Based Construction Safety Education System for Experiential Learning,Journal of Intelligent & Robotic Systems,,79,3 - 4,10.1007/s10846-014-0112-z,Quang Tuan LeAkeem PedroChan Sik Park,2015,http://link.springer.com/article/10.1007/s10846-014-0112-z,Article
RoboWarfare: can robots be more ethical than humans on the battlefield?,Ethics and Information Technology,,12,3,10.1007/s10676-010-9241-7,John P. Sullins,2010,http://link.springer.com/article/10.1007/s10676-010-9241-7,Article
Inaccuracy as a privacy-enhancing tool,Ethics and Information Technology,,12,1,10.1007/s10676-009-9212-z,Gloria González Fuster,2010,http://link.springer.com/article/10.1007/s10676-009-9212-z,Article
Oral presentations,Cognitive Processing,,13,1,10.1007/s10339-012-0511-7,,2012,http://link.springer.com/article/10.1007/s10339-012-0511-7,Article
New Approaches to Diagnosis and Therapy,International Journal of Computer Assisted Radiology and Surgery,,5,1,10.1007/s11548-010-0445-4,,2010,http://link.springer.com/article/10.1007/s11548-010-0445-4,Article
OVE Nachrichten,e & i Elektrotechnik und Informationstechnik,,127,5,10.1007/s00502-010-0728-z,,2010,http://link.springer.com/article/10.1007/s00502-010-0728-z,Article
Granny and the robots: ethical issues in robot care for the elderly,Ethics and Information Technology,,14,1,10.1007/s10676-010-9234-6,Amanda SharkeyNoel Sharkey,2012,http://link.springer.com/article/10.1007/s10676-010-9234-6,Article
Developing and validating a model explaining the assimilation process of RFID: An empirical study,Information Systems Frontiers,,,,10.1007/s10796-014-9537-y,Mohammad Alamgir HossainMohammed QuaddusNazrul Islam,2014,http://link.springer.com/article/10.1007/s10796-014-9537-y,Article
Inclusion and Social Cohesion in a Digital Society,International Journal of Educational Technology in Higher Education,,12,2,10.7238/rusc.v12i2.2459,José L. Lázaro CantabranaMeritxell Estebanell MinguellJuan Carlos Tedesco,2015,http://link.springer.com/article/10.7238/rusc.v12i2.2459,Article
"Respect for persons, identity, and information technology",Ethics and Information Technology,,12,1,10.1007/s10676-009-9188-8,Robin S. Dillon,2010,http://link.springer.com/article/10.1007/s10676-009-9188-8,Article
Beyond the financial crisis: a way forward with development paradigm,AI & SOCIETY,,24,4,10.1007/s00146-009-0226-1,Zhouying JinYing Bai,2009,http://link.springer.com/article/10.1007/s00146-009-0226-1,Article
Nurturing an adaptive disposition in the context of security training through the approach of Disciplinary Intuitions,Journal of Computers in Education,,,,10.1007/s40692-016-0060-7,Kenneth Y. T. Lim,2016,http://link.springer.com/article/10.1007/s40692-016-0060-7,Article
"Working with multicultural virtual teams: critical factors for facilitation, satisfaction and success",Smart Learning Environments,,2,1,10.1186/s40561-015-0018-7,Kursat CagiltayBarbara BichelmeyerGoknur Kaplan Akilli,2015,http://link.springer.com/article/10.1186/s40561-015-0018-7,Article
Big Data Processing for Renewable Energy Telemetry Using a Decentralized Cloud M2M System,Wireless Personal Communications,,87,3,10.1007/s11277-015-2527-7,George SuciuAlexandru VulpeAlexandru MartianSimona HalungaDragos Nicolae Vizireanu,2016,http://link.springer.com/article/10.1007/s11277-015-2527-7,Article
A Vision-based Quadrotor Multi-robot Solution for the Indoor Autonomy Challenge of the 2013 International Micro Air Vehicle Competition,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-015-0304-1,Jesús PestanaJose Luis Sanchez-LopezPaloma de la PuenteAdrian CarrioPascual Campoy,2015,http://link.springer.com/article/10.1007/s10846-015-0304-1,Article
A taxonomy of argumentation models used for knowledge representation,Artificial Intelligence Review,,33,3,10.1007/s10462-010-9154-1,Jamal BentaharBernard MoulinMicheline Bélanger,2010,http://link.springer.com/article/10.1007/s10462-010-9154-1,Article
"Antecedents of open source software defects: A data mining approach to model formulation, validation and testing",Information Technology and Management,,10,4,10.1007/s10799-009-0062-5,Uzma RajaMarietta J. Tretter,2009,http://link.springer.com/article/10.1007/s10799-009-0062-5,Article
Educational innovation and digital competencies: the case of OER in a private Venezuelan university,International Journal of Educational Technology in Higher Education,,13,1,10.1186/s41239-016-0006-1,Marcella Solange Prince MachadoGloria Concepción Tenorio SepúlvedaMaria Soledad Ramirez Montoya,2016,http://link.springer.com/article/10.1186/s41239-016-0006-1,Article
Detecting sociosemantic communities by applying social network analysis in tweets,Social Network Analysis and Mining,,5,1,10.1007/s13278-015-0280-2,Rocío Abascal-MenaRose LemaFlorence Sèdes,2015,http://link.springer.com/article/10.1007/s13278-015-0280-2,Article
Algorithm and intelligent tutoring system design for programmable controller programming,The International Journal of Advanced Manufacturing Technology,,71,5 - 8,10.1007/s00170-013-5539-z,Sheng-Jen HsiehYuan-Teng Cheng,2014,http://link.springer.com/article/10.1007/s00170-013-5539-z,Article
Conceptual and content-based annotation of (multimedia) documents,Multimedia Tools and Applications,,72,3,10.1007/s11042-013-1463-3,Gian Piero Zarri,2014,http://link.springer.com/article/10.1007/s11042-013-1463-3,Article
E-redesigning of society: towards experiential connectivity of generations in Lithuania,AI & SOCIETY,,23,1,10.1007/s00146-007-0163-9,Arunas AugustinaitisRichard EnnalsEgle MalinauskieneRimantas Petrauskas,2009,http://link.springer.com/article/10.1007/s00146-007-0163-9,Article
Gendering the digital body: women and computers,AI & SOCIETY,,27,4,10.1007/s00146-012-0371-9,Archana BaruaAnanya Barua,2012,http://link.springer.com/article/10.1007/s00146-012-0371-9,Article
Design error reduction: toward the effective utilization of building information modeling,Research in Engineering Design,,22,3,10.1007/s00163-011-0105-x,Peter E. D. LoveDavid J. EdwardsSangwon HanYang M. Goh,2011,http://link.springer.com/article/10.1007/s00163-011-0105-x,Article
Emerging Applications for Cyber Transportation Systems,Journal of Computer Science and Technology,,29,4,10.1007/s11390-014-1450-9,Aditya WaghYunfei HouChunming QiaoLongfei ZhangXu LiAdel SadekKevin HulmeChangxu WuHong-Li XuLiu-Sheng Huang,2014,http://link.springer.com/article/10.1007/s11390-014-1450-9,Article
An emotional polarity analysis of consumers’ airline service tweets,Social Network Analysis and Mining,,3,3,10.1007/s13278-013-0111-2,Mohamed M. Mostafa,2013,http://link.springer.com/article/10.1007/s13278-013-0111-2,Article
Increasing participation in the information society by people with disabilities and their families in lower-income countries using mainstream technologies,Universal Access in the Information Society,,,,10.1007/s10209-015-0418-z,Tim BarlottKim AdamsAl Cook,2015,http://link.springer.com/article/10.1007/s10209-015-0418-z,Article
"Drones, information technology, and distance: mapping the moral epistemology of remote fighting",Ethics and Information Technology,,15,2,10.1007/s10676-013-9313-6,Mark Coeckelbergh,2013,http://link.springer.com/article/10.1007/s10676-013-9313-6,Article
Transparency in business and society: introduction to the special issue,Ethics and Information Technology,,11,2,10.1007/s10676-009-9197-7,Antonino VaccaroPeter Madsen,2009,http://link.springer.com/article/10.1007/s10676-009-9197-7,Article
Intellectual information technologies in management,Scientific and Technical Information Processing,,36,1,10.3103/S0147688209010080,A. N. Raikov,2009,http://link.springer.com/article/10.3103/S0147688209010080,Article
"Rethinking archival, ethical and legal frameworks for records of Indigenous Australian communities: a participant relationship model of rights and responsibilities",Archival Science,,10,4,10.1007/s10502-010-9120-3,Livia Iacovino,2010,http://link.springer.com/article/10.1007/s10502-010-9120-3,Article
“But the data is already public”: on the ethics of research in Facebook,Ethics and Information Technology,,12,4,10.1007/s10676-010-9227-5,Michael Zimmer,2010,http://link.springer.com/article/10.1007/s10676-010-9227-5,Article
Deliberative discourse and reasoning from generic argument structures,AI & SOCIETY,,23,3,10.1007/s00146-006-0069-y,John L. YearwoodAndrew Stranieri,2009,http://link.springer.com/article/10.1007/s00146-006-0069-y,Article
"The promise and challenges of integrating public transportation in Bogotá, Colombia",Public Transport,,6,1 - 2,10.1007/s12469-013-0083-7,Gwen KashDario Hidalgo,2014,http://link.springer.com/article/10.1007/s12469-013-0083-7,Article
Traits and types of health data repositories,Health Information Science and Systems,,2,1,10.1186/2047-2501-2-4,Ted D Wade,2014,http://link.springer.com/article/10.1186/2047-2501-2-4,Article
The influence of context and process when implementing e-health,BMC Medical Informatics and Decision Making,,9,1,10.1186/1472-6947-9-9,David BoddyGerry KingJulia S ClarkDavid HeaneyFrances Mair,2009,http://link.springer.com/article/10.1186/1472-6947-9-9,Article
Service delivery through mobile-government (mGov): Driving factors and cultural impacts,Information Systems Frontiers,,18,2,10.1007/s10796-014-9533-2,Mahmud Akhter ShareefVinod KumarYogesh K. DwivediUma Kumar,2016,http://link.springer.com/article/10.1007/s10796-014-9533-2,Article
On environments as systemic exoskeletons: crosscutting optimizers and antifragility enablers,Journal of Reliable Intelligent Environments,,1,2 - 4,10.1007/s40860-015-0006-2,Vincenzo De Florio,2015,http://link.springer.com/article/10.1007/s40860-015-0006-2,Article
The Linked Data Benchmark Council Project,Datenbank-Spektrum,,13,2,10.1007/s13222-013-0125-y,Peter BonczIrini FundulakiAndrey GubichevJosep Larriba-PeyThomas Neumann,2013,http://link.springer.com/article/10.1007/s13222-013-0125-y,Article
Entrepreneurship and the carbon market: opportunities and challenges for South African entrepreneurs,AI & SOCIETY,,29,3,10.1007/s00146-013-0458-y,Inga Jessica NkusiSemhar HabtezghiHarald Dolles,2014,http://link.springer.com/article/10.1007/s00146-013-0458-y,Article
"An e-health driven laboratory information system to support HIV treatment in Peru: E-quity for laboratory personnel, health providers and people living with HIV",BMC Medical Informatics and Decision Making,,9,1,10.1186/1472-6947-9-50,Patricia J GarcíaJavier H VargasPatricia Caballero NJavier Calle VAngela M Bayer,2009,http://link.springer.com/article/10.1186/1472-6947-9-50,Article
Companion-Technology: An Overview,KI - Künstliche Intelligenz,,30,1,10.1007/s13218-015-0419-3,Susanne BiundoDaniel HöllerBernd SchattenbergPascal Bercher,2016,http://link.springer.com/article/10.1007/s13218-015-0419-3,Article
The autonomy-safety-paradox of service robotics in Europe and Japan: a comparative analysis,AI & SOCIETY,,,,10.1007/s00146-015-0630-7,Hironori MatsuzakiGesa Lindemann,2015,http://link.springer.com/article/10.1007/s00146-015-0630-7,Article
"Migrating memories: transdisciplinary pedagogical approaches to teaching about diasporic memory, identity and human rights in archival studies",Archival Science,,,,10.1007/s10502-016-9265-9,Anne J. GillilandHariz Halilovich,2016,http://link.springer.com/article/10.1007/s10502-016-9265-9,Article
"‘It looks like a human!’ The interrelation of social presence, interaction and agency ascription: a case study about the effects of an android robot on social agency ascription",AI & SOCIETY,,,,10.1007/s00146-015-0632-5,Ilona Straub,2015,http://link.springer.com/article/10.1007/s00146-015-0632-5,Article
"The Software Ontology (SWO): a resource for reproducibility in biomedical data analysis, curation and digital preservation",Journal of Biomedical Semantics,,5,1,10.1186/2041-1480-5-25,James MaloneAndy BrownAllyson L ListerJon IsonDuncan HullHelen ParkinsonRobert Stevens,2014,http://link.springer.com/article/10.1186/2041-1480-5-25,Article
"Dissemination of information and visibility of the European Higher Education Area through the websites of Spanish universities: a longitudinal metric analysis, 2007–2012",Scientometrics,,98,2,10.1007/s11192-013-1062-0,María PintoDavid Guerrero QuesadaXimo Granell,2014,http://link.springer.com/article/10.1007/s11192-013-1062-0,Article
Focal structures analysis: identifying influential sets of individuals in a social network,Social Network Analysis and Mining,,6,1,10.1007/s13278-016-0319-z,Fatih Şen Ph.D.Rolf Wigand Ph.D.Nitin Agarwal Ph.D.Serpil Tokdemir Ph.D.Rafal Kasprzyk Ph.D.,2016,http://link.springer.com/article/10.1007/s13278-016-0319-z,Article
Empowering student learning through Tablet PCs: A case study,Education and Information Technologies,,15,3,10.1007/s10639-009-9103-2,Sandy C. LiJacky W. C. PowEmily M. L. WongAlex C. W. Fung,2010,http://link.springer.com/article/10.1007/s10639-009-9103-2,Article
Promoting Children’s learning through technology literacy: challenges to school librarians in the 21st century,Education and Information Technologies,,,,10.1007/s10639-016-9481-1,Anthonia N. EjikemeHelen N. Okpala,2016,http://link.springer.com/article/10.1007/s10639-016-9481-1,Article
Research on information systems failures and successes: Status update and future directions,Information Systems Frontiers,,17,1,10.1007/s10796-014-9500-y,Yogesh K. DwivediDavid WastellSven LaumerHelle Zinner HenriksenMichael D. MyersDeborah BunkerAmany ElbannaM. N. RavishankarShirish C. Srivastava,2015,http://link.springer.com/article/10.1007/s10796-014-9500-y,Article
Development and Implementation of a Safety Management System in a Lean Airline,"Cognition, Technology & Work",,17,2,10.1007/s10111-014-0297-8,Pernilla UlfvengrenSiobhán Corrigan,2015,http://link.springer.com/article/10.1007/s10111-014-0297-8,Article
"Visual GUI testing in practice: challenges, problemsand limitations",Empirical Software Engineering,,20,3,10.1007/s10664-013-9293-5,Emil AlégrothRobert FeldtLisa Ryrholm,2015,http://link.springer.com/article/10.1007/s10664-013-9293-5,Article
On the ethical framing of research programs in robotics,AI & SOCIETY,,,,10.1007/s00146-015-0627-2,Guglielmo Tamburrini,2015,http://link.springer.com/article/10.1007/s00146-015-0627-2,Article
Successful education for AEC professionals: case study of applying immersive game-like virtual reality interfaces,Visualization in Engineering,,2,1,10.1186/2213-7459-2-4,Farzad Pour RahimianTomasz ArciszewskiJack Steven Goulding,2014,http://link.springer.com/article/10.1186/2213-7459-2-4,Article
Green is good but is usability better? Consumer reactions to environmental initiatives in e-banking services,Ethics and Information Technology,,16,2,10.1007/s10676-014-9337-6,George LekakosPavlos VlachosChristos Koritos,2014,http://link.springer.com/article/10.1007/s10676-014-9337-6,Article
Distrust in the archive: reconciling records,Archival Science,,11,3 - 4,10.1007/s10502-011-9153-2,Sue McKemmishShannon FaulkheadLynette Russell,2011,http://link.springer.com/article/10.1007/s10502-011-9153-2,Article
"Surveillance, documentation and privacy: an international comparative analysis of state intelligence records",Archival Science,,,,10.1007/s10502-015-9240-x,Katherine M. WisserJoel A. Blanco-Rivera,2015,http://link.springer.com/article/10.1007/s10502-015-9240-x,Article
A bibliometric analysis of Technology Centres,Scientometrics,,104,3,10.1007/s11192-015-1631-5,Fernanda MorilloPreiddy Efrain-Garcia,2015,http://link.springer.com/article/10.1007/s11192-015-1631-5,Article
Alignment of Divergent Organizational Cultures in IT Public-Private Partnerships,Business & Information Systems Engineering,,4,3,10.1007/s12599-012-0213-9,"M.Sc., Dipl.-Kfm. (FH) Oliver MarschollekProf. Dr. Roman Beck",2012,http://link.springer.com/article/10.1007/s12599-012-0213-9,Article
School websites as a novel internationalization assessment tool,Education and Information Technologies,,21,3,10.1007/s10639-014-9343-7,Miri YeminiAnat Cohen,2016,http://link.springer.com/article/10.1007/s10639-014-9343-7,Article
Surveying general prospects and challenges of GIS implementation in developing countries: a SWOT–AHP approach,Journal of Geographical Systems,,11,3,10.1007/s10109-009-0089-5,Mohammad TaleaiAli MansourianAli Sharifi,2009,http://link.springer.com/article/10.1007/s10109-009-0089-5,Article
"Simulation, self-extinction, and philosophy in the service of human civilization",AI & SOCIETY,,,,10.1007/s00146-015-0620-9,Jeffrey White,2015,http://link.springer.com/article/10.1007/s00146-015-0620-9,Article
Cross-country analysis of spambots,EURASIP Journal on Information Security,,2013,1,10.1186/1687-417X-2013-3,Vaibhav GargThomas KosterLinda Jean Camp,2013,http://link.springer.com/article/10.1186/1687-417X-2013-3,Article
"Scientific publications of engineers in South Africa, 1975–2005",Scientometrics,,86,1,10.1007/s11192-010-0288-3,Radhamany Sooryamoorthy,2011,http://link.springer.com/article/10.1007/s11192-010-0288-3,Article
Scientific collaboration as a window and a door into North Korea,Scientometrics,,97,1,10.1007/s11192-012-0946-8,R. D. SheltonGrant Lewison,2013,http://link.springer.com/article/10.1007/s11192-012-0946-8,Article
Examining the influence of service quality and secondary influence on the behavioural intention to change internet service provider,Information Systems Frontiers,,12,2,10.1007/s10796-008-9074-7,Yogesh K. DwivediAnastasia PapazafeiropoulouWillem-Paul BrinkmanBanita Lal,2010,http://link.springer.com/article/10.1007/s10796-008-9074-7,Article
"Physicians reading and writing practices: a cross-sectional study from Civil Hospital, Karachi, Pakistan",BMC Medical Informatics and Decision Making,,12,1,10.1186/1472-6947-12-76,Muhammad Farhan KhaliqMuhammad Muslim NooraniUzair Ahmed SiddiquiMaheen Anwar,2012,http://link.springer.com/article/10.1186/1472-6947-12-76,Article
Officing: Mediating Time and the Professional Self in the Support of Nomadic Work,Computer Supported Cooperative Work (CSCW),,23,2,10.1007/s10606-013-9197-3,Justine Humphry,2014,http://link.springer.com/article/10.1007/s10606-013-9197-3,Article
An ANP-based assessment model for lean enterprise transformation,The International Journal of Advanced Manufacturing Technology,,64,5 - 8,10.1007/s00170-012-4047-x,Ibrahim CilYusuf S. Turkan,2013,http://link.springer.com/article/10.1007/s00170-012-4047-x,Article
The Impact of ICTs on Lecturer and Student Interaction in University Education Processes,International Journal of Educational Technology in Higher Education,,9,2,10.7238/rusc.v9i2.1243,Òscar Flores AlarciaIsabel de Arco Bravo,2012,http://link.springer.com/article/10.7238/rusc.v9i2.1243,Article
The importance of privacy revisited,Ethics and Information Technology,,11,3,10.1007/s10676-009-9201-2,Norman Mooradian,2009,http://link.springer.com/article/10.1007/s10676-009-9201-2,Article
Mapping election campaigns through negative entropy: Triple and Quadruple Helix approach to South Korea’s 2012 presidential election,Scientometrics,,99,1,10.1007/s11192-013-1122-5,Han Woo Park,2014,http://link.springer.com/article/10.1007/s11192-013-1122-5,Article
Is there any feedback effect between academic research publication and research collaboration? Evidence from an Australian university,Scientometrics,,105,3,10.1007/s11192-015-1759-3,Shamsul Arifeen Khan MamunMohammad Mafizur Rahman,2015,http://link.springer.com/article/10.1007/s11192-015-1759-3,Article
Business Intelligence and the Web,Information Systems Frontiers,,15,3,10.1007/s10796-013-9435-8,Malu CastellanosFlorian DanielIrene GarrigósJose-Norberto Mazón,2013,http://link.springer.com/article/10.1007/s10796-013-9435-8,Article
"Taxonomy, technology and applications of smart objects",Information Systems Frontiers,,13,2,10.1007/s10796-009-9218-4,Tomás Sánchez LópezDamith Chinthana RanasingheBela PatkaiDuncan McFarlane,2011,http://link.springer.com/article/10.1007/s10796-009-9218-4,Article
"Reclaiming erased lives: archives, records and memories in post-war Bosnia and the Bosnian diaspora",Archival Science,,14,3 - 4,10.1007/s10502-014-9227-z,Hariz Halilovich,2014,http://link.springer.com/article/10.1007/s10502-014-9227-z,Article
Estimating trust value: A social network perspective,Information Systems Frontiers,,17,6,10.1007/s10796-014-9519-0,Wei-Lun ChangArleen N. DiazPatrick C. K. Hung,2015,http://link.springer.com/article/10.1007/s10796-014-9519-0,Article
