Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
A systematic review on multi-device inclusive environments,Universal Access in the Information Society,,,,10.1007/s10209-015-0422-3,Ig Ibert BittencourtMaria Cecília BaranauskasRoberto PereiraDiego DermevalSeiji IsotaniPatrícia Jaques,2015,http://link.springer.com/article/10.1007/s10209-015-0422-3,Article,"The challenge of designing universal access to knowledge demands considerations on multi-device interaction. A systematic review of inclusive environments built from multiple devices was conducted based on studies published during the period of 2002–2013. The search strategy combined manual and automatic searches from which 8889 studies were identified; 34 studies were found proposing software tools for building multi-device inclusive environments (0.38 % of the original sample). Thus, this study analyzes the ways academic and industrial communities have developed tools for building inclusive environments. The main findings of this review are: (1) an urgent need for the recognition of accessibility as an important non-functional requirement; (2) a need for taking into account the social conditions of users, such as illiteracy and people living in underserved communities; and (3) the identification of new research questions in the context of multi-device inclusive environments."
Lessons learned from applying social network analysis on an industrial Free/Libre/Open Source Software ecosystem,Journal of Internet Services and Applications,,6,1,10.1186/s13174-015-0028-2,Jose TeixeiraGregorio RoblesJesús M. González-Barahona,2015,http://link.springer.com/article/10.1186/s13174-015-0028-2,Article,"Many software projects are no longer done in-house by a single organization. Instead, we are in a new age where software is developed by a networked community of individuals and organizations, which base their relations to each other on mutual interest. Paradoxically, recent research suggests that software development can actually be jointly-developed by rival firms. For instance, it is known that the mobile-device makers Apple and Samsung kept collaborating in open source projects while running expensive patent wars in the court. Taking a case study approach, we explore how rival firms collaborate in the open source arena by employing a multi-method approach that combines qualitative analysis of archival data (QA) with mining software repositories (MSR) and Social Network Analysis (SNA). While exploring collaborative processes within the OpenStack ecosystem, our research contributes to Software Engineering research by exploring the role of groups, sub-communities and business models within a high-networked open source ecosystem. Surprising results point out that competition for the same revenue model (i.e., operating conflicting business models) does not necessary affect collaboration within the ecosystem. Moreover, while detecting the different sub-communities of the OpenStack community, we found out that the expected social tendency of developers to work with developers from same firm (i.e., homophony) did not hold within the OpenStack ecosystem. Furthermore, while addressing a novel, complex and unexplored open source case, this research also contributes to the management literature in coopetition strategy and high-tech entrepreneurship with a rich description on how heterogeneous actors within a high-networked ecosystem (involving individuals, startups, established firms and public organizations) joint-develop a complex infrastructure for big-data in the open source arena."
Smart Citizens: Exploring the Tools of the Urban Bottom-Up Movement,Computer Supported Cooperative Work (CSCW),,,,10.1007/s10606-016-9249-6,Sabine NiedererRuurd Priester,2016,http://link.springer.com/article/10.1007/s10606-016-9249-6,Article,"As web technology and (big) data continue to transform how we organize ourselves, scholarly research increasingly zooms in on the socio-material conditions of citizen participation and public engagement, the objects and devices that organize publics. Where social issues may often be the driver of such public engagement, increasingly the city and, more specifically, the neighborhood itself have become a central objects connecting their inhabitants through online networks and neighborhood events. Tools and apps for citizen participation then weave together neighborhood stakeholders (e.g. inhabitants, municipal parties and entrepreneurs). This paper zooms in on a sample of 40 such tools that enable and organize bottom-up citizen participation in the city of Amsterdam. Combining a theoretical framework with content analysis, digital methods and data visualization, this paper marks the starting point of a longitudinal analysis of online tools for the urban bottom-up movement."
An architecture for integrated intelligence in urban management using cloud computing,"Journal of Cloud Computing: Advances, Systems and Applications",,1,1,10.1186/2192-113X-1-1,Zaheer KhanDavid LudlowRichard McClatcheyAshiq Anjum,2012,http://link.springer.com/article/10.1186/2192-113X-1-1,Article,"With the emergence of new methodologies and technologies it has now become possible to manage large amounts of environmental sensing data and apply new integrated computing models to acquire information intelligence. This paper advocates the application of cloud technologies to support the information, communication and decision making needs of a wide variety of stakeholders in the complex business of the management of urban and regional development. The complexity is evident in the socio-economic and environmental interactions and impacts embodied in the concept of the urban-ecosystem. This highlights the need for more effective integrated environmental management systems. A key to understanding the nature of integrated environmental management systems is the identification of the need for horizontal integration of information across sectoral inter-agency boundaries at the local level, and the need for vertical coordination between levels of governance. This paper offers a user-oriented approach to the specification of requirements for the effective management of urban areas and the potential contributions that can be supported by cloud computing. The commonality of the influence of the drivers of change at the urban level offers the opportunity for the cloud computing community to develop generic solutions that can serve the needs of hundreds of cities throughout Europe and indeed globally. In this respect, different cloud based architecture scenarios are presented which utilise capabilities compliant to various standards in generating information and intelligence for urban governance."
What electronic health records don’t know just yet. A privacy analysis for patient communities and health records interaction,Health and Technology,,2,3,10.1007/s12553-012-0026-3,Kim WuytsGriet VerhennemanRiccardo ScandariatoWouter JoosenJos Dumortier,2012,http://link.springer.com/article/10.1007/s12553-012-0026-3,Article,"The advent of Web 2.0 has resulted in the emergence of a new generation of user-centric applications. Healthcare too follows this trend and a whole range of health-related applications are being introduced. Electronic health record (EHR) systems are being developed to enable electronic storing and sharing of medical data between health practitioners. Recently, initial steps have been taken to evolve toward cross-border sharing of EHR data. Patients also become more involved in their healthcare and start storing their health data online in personal health record (PHR) systems or look for online support and medical advice from other patients with similar diseases or treatments. The consolidation of these different systems is described as a promising approach to bring healthcare to a higher level. A consequence of this evolution is the rise of new privacy threats to the patient’s medical data, as more data becomes easily accessible to more people. Not only the treating physicians have access to the health data, the patient himself will have direct access to it and even be in control of his data and the access to it. As a first step in the answer to this trend, this paper presents a legally-founded analysis of the privacy issues emerging from the integration of EHR and patient communities. First, a taxonomy of health data types and user roles that have a key role in integrated health record systems is proposed. Second, privacy-preserving access rights are discussed and a set of privacy-aware access levels are suggested. Finally, ethical, legal, and technically challenges are highlighted, and a set of high-level privacy-enhancing technical requirements are presented."
Social networks and online environments: when science and practice co-evolve,Social Network Analysis and Mining,,1,1,10.1007/s13278-010-0011-7,Devan RosenGeorge A. BarnettJang Hyun Kim,2011,http://link.springer.com/article/10.1007/s13278-010-0011-7,Article,"The science of social network analysis has co-evolved with the development of online environments and computer-mediated communication. Unique and precise data available from computer and information systems have allowed network scientists to explore novel social phenomena and develop new methods. Additionally, advances in the structural analysis and visualization of computer-mediated social networks have informed developers and shaped the design of social media tools. This article reviews some examples of research that highlight the ways that social network analysis has evolved with online data. Examples include the international hyperlink network, political blogs and hyperlinks, social media, and multi-user virtual environments. The data available from online environments makes several important contributions to network science, including reliable network flow data, unique forms of relational data across a myriad of contexts, and dynamic data allowing for longitudinal analysis and the animation of social networks."
"A general perspective of Big Data: applications, tools, challenges and trends",The Journal of Supercomputing,,,,10.1007/s11227-015-1501-1,Lisbeth Rodríguez-MazahuaCristian-Aarón Rodríguez-EnríquezJosé Luis Sánchez-CervantesJair CervantesJorge Luis García-AlcarazGiner Alor-Hernández,2015,http://link.springer.com/article/10.1007/s11227-015-1501-1,Article,"Big Data has become a very popular term. It refers to the enormous amount of structured, semi-structured and unstructured data that are exponentially generated by high-performance applications in many domains: biochemistry, genetics, molecular biology, physics, astronomy, business, to mention a few. Since the literature of Big Data has increased significantly in recent years, it becomes necessary to develop an overview of the state-of-the-art in Big Data. This paper aims to provide a comprehensive review of Big Data literature of the last 4 years, to identify the main challenges, areas of application, tools and emergent trends of Big Data. To meet this objective, we have analyzed and classified 457 papers concerning Big Data. This review gives relevant information to practitioners and researchers about the main trends in research and application of Big Data in different technical domains, as well as a reference overview of Big Data tools."
The firekeepers: aging considered as a resource,Universal Access in the Information Society,,11,1,10.1007/s10209-011-0229-9,John M. CarrollGregorio ConvertinoUmer FarooqMary Beth Rosson,2012,http://link.springer.com/article/10.1007/s10209-011-0229-9,Article,"Technology can improve the quality of life for elderly persons by supporting and facilitating the unique leadership roles that elderly play in groups, communities, and other organizations. Elderly people are often organizational firekeepers. They maintain community memory, pass on organizational practices, and ensure social continuity. This paper reports studies of several essential community roles played by elderly community members—including the role of volunteer community webmaster—and describes two positive design projects that investigated how technology can support new kinds of social endeavors and contributions to society by elderly citizens. Finally, the paper speculates on the utility of intergenerational teams in strengthening society’s workforce."
Ethical considerations in an online community: the balancing act,Ethics and Information Technology,,15,4,10.1007/s10676-013-9315-4,Cecile ParisNathalie ColineauSurya NepalSanat Kumar BistaGina Beschorner,2013,http://link.springer.com/article/10.1007/s10676-013-9315-4,Article,"With the emergence and rapid growth of Social Media, a number of government departments in several countries have embraced Social Media as a privilege channel to interact with their constituency. We are exploring, in collaboration with the Australian Department of Human Services, the possibility to exploit the potential of social networks to support specific groups of citizens. To this end, we have developed Next Step, an online community to help people currently receiving welfare payments find a job and become financially self-sufficient. In this paper, we explore some ethical issues that arise when governments engage directly with citizens, in particular with communities in difficult situations, and when researchers are involved. We describe some of the challenges we faced and how we addressed them. Our work highlights the complexity of the problem, when an online community involves a government department and a welfare recipient group with a dependency relationship with that department. It becomes a balancing act, with the need to ensure privacy of the community members whilst still fulfilling the government’s legal responsibilities. While difficult, these issues must be addressed if governments are to engage with their citizens using Social Media."
Accessibility and interoperability in e-government systems: outlining an inclusive development process,Universal Access in the Information Society,,9,1,10.1007/s10209-009-0157-0,Rodrigo BonacinAmanda M. MeloCarlos A. C. SimoniM. Cecília C. Baranauskas,2010,http://link.springer.com/article/10.1007/s10209-009-0157-0,Article,"The multidisciplinary nature of e-government demands a research agenda that includes issues related to social inclusion, universal accessibility, interoperability, privacy, security, and citizen participation, to name a few. Understanding the underlying cultural context, the involvement of citizens in the proposal and evaluation of services, and the promotion of quality in use are aspects that need special consideration in the development of systems to support government. This paper provides an outline for a process model for promoting the identification and specification of accessible e-government services with the participation of the interested parties. A socially shared perspective is adopted toward the comprehension of the involved problems and the elaboration of potential solutions. The proposed model is a result of practice in the domain, using organizational semiotics artifacts to stimulate participation and discussion."
Self-assessed and actual Internet skills of people with visual impairments,Universal Access in the Information Society,,13,2,10.1007/s10209-013-0304-5,Thea van der GeestHans van der MeijCarolina van Puffelen,2014,http://link.springer.com/article/10.1007/s10209-013-0304-5,Article,"The Internet can make available to people with a visual impairment information and services that are otherwise inaccessible. But do visually impaired users actually use common Internet applications and do they have the necessary skills? This article reports a two-part study addressing these questions. The first part was an interview study in which 73 young and 69 older Dutch people with a visual impairment were questioned about usage of applications such as e-mail, chat, and web forms, and their self-perceived competence. The young participants reported more frequent use of Internet applications and mentioned multiple goals (i.e., social and educational), compared to the older. Both groups considered themselves reasonably competent, with the young rating themselves higher. The second part was a case study with 20 young and 20 older participants from the first study, who performed common Internet tasks, using websites or applications that complied with accessibility guidelines. Task performance was analyzed in detail for demonstrated skills. Actual performance proved to be unrelated to self-rated competence. Moreover, the competence of both young and older participants fell far short of what active participation in society requires, especially for the more complex information and strategic skills. The success rate on the performance tasks was low. People with a visual impairment should receive extensive support for the acquisition of higher-level skills that are called upon when using Internet information and services in order to participate in society."
Bridging research and practice: Implementing and sustaining knowledge building in Hong Kong classrooms,International Journal of Computer-Supported Collaborative Learning,,6,2,10.1007/s11412-011-9121-0,Carol K. K. Chan,2011,http://link.springer.com/article/10.1007/s11412-011-9121-0,Article,"Despite major theoretical progress in computer-supported collaborative learning (CSCL), relatively less attention has been paid to the problem of how research advances may impact schools and classrooms. Given the global changes and educational policies for twenty-first century education, issues of how research in CSCL can be integrated with classroom practice for innovation pose important challenges. This paper draws on experiences in Hong Kong and examines research-based CSCL classroom innovations in the context of scaling up and sustaining a knowledge-building model in Hong Kong classrooms. It begins with an examination of the rationale for CSCL research in classrooms and then considers a range of problems and constraints for school implementation. Classroom innovations involve complex and emergent changes occurring at different levels of the educational system. The experience of CSCL knowledge-building classroom innovations in Hong Kong schools is reported, including: the macro-context of educational policies and educational reform, the meso-context of a knowledge-building teacher network, and the micro-context of knowledge-building design in classrooms. Three interacting themes—context and systemic change, capacity and community building, and innovation as inquiry—are proposed for examining collaboration and knowledge creation for classroom innovation."
More than modelling and hiding: towards a comprehensive view of Web mining and privacy,Data Mining and Knowledge Discovery,,24,3,10.1007/s10618-012-0254-1,Bettina Berendt,2012,http://link.springer.com/article/10.1007/s10618-012-0254-1,Article,"Over the last decade, privacy has been widely recognised as one of the major problems of data collections in general and the Web in particular. This concerns specifically data arising from Web usage (such as querying or transacting) and social networking (characterised by rich self-profiling including relational information) and the inferences drawn from them. The data mining community has been very conscious of these issues and has addressed in particular the inference problems through various methods for “privacy-preserving data mining” and “privacy-preserving data publishing”. However, it appears that these approaches by themselves cannot effectively solve the privacy problems posed by mining. We argue that this is due to the underlying notions of privacy and of data mining, both of which are too narrow. Drawing on notions of privacy not only as hiding, but as control and negotiation, as well as on data mining not only as modelling, but as the whole cycle of knowledge discovery, we offer an alternative view. This is intended to be a comprehensive view of the privacy challenges as well as solution approaches along all phases of the knowledge discovery cycle. The paper thus combines a survey with an outline of an agenda for a comprehensive, interdisciplinary view of Web mining and privacy."
The e-volution of the i-society in the delivery of e-government,AI & SOCIETY,,25,3,10.1007/s00146-010-0288-0,Wallace J. TaylorStewart MarshallShahram Amiri,2010,http://link.springer.com/article/10.1007/s00146-010-0288-0,Article,--Abstract not found--
A linked open data based system utilizing structured open innovation process for addressing collaboratively public concerns in regional societies,Applied Intelligence,,44,1,10.1007/s10489-015-0704-8,Teemu TossavainenShun ShiramatsuTadachika OzonoToramatsu Shintani,2016,http://link.springer.com/article/10.1007/s10489-015-0704-8,Article,"Regional governments are looking for ways to address public concerns more efficiently by utilizing eGovernment systems. The complex environment presents problems for situational awareness and cooperation in public spheres. Current solutions are either lacking in structuring the information or do not support collaboration or discovery. We addressed the problem by developing an open innovation process based web platform for gathering public issues, forming public goals, and for structuring concrete subgoals as goal trees to facilitate participation. We use SOCIA ontology to structure goal information as linked open data. We calculate similarity between a pair of goals by utilizing the tree like structured goal relations. We implemented a negotiation user interface on a video conferencing platform to facilitate interorganizational cooperation and conflict resolution. We are arranging workshops and using the system in various hackathon events to evaluate and analyze the system in real life situations and to gather real life data. We provide the implemented system as a free to use tool."
Measuring Twitter-based political participation and deliberation in the South Korean context by using social network and Triple Helix indicators,Scientometrics,,90,1,10.1007/s11192-011-0508-5,Minjeong KimHan Woo Park,2012,http://link.springer.com/article/10.1007/s11192-011-0508-5,Article,"This study investigates the role of Twitter in political deliberation and participation by analyzing the ways in which South Korean politicians use Twitter. In addition, the study examines the rise of Twitter as user-generated communication system for political participation and deliberation by using the Triple Helix indicators. For this, we considered five prominent politicians, each belonging to one of four political parties, by using data collected in June 2010. The results suggest that non-mainstream, resource-deficient politicians are more likely to take advantage of Twitter’s potential as an alternative means of political participation and that a small number of Twitter users lead political discourse in the Twittersphere. We also examined the occurrence and co-occurrence of politicians’ names in Twitter posts, and then calculate entropy values for trilateral relationships. The results suggest that the level of political deliberation, expressed in terms of the level of balance in the communication system, is higher when politicians with different political orientations form the trilateral relationships."
Breaking the filter bubble: democracy and design,Ethics and Information Technology,,17,4,10.1007/s10676-015-9380-y,Engin BozdagJeroen van den Hoven,2015,http://link.springer.com/article/10.1007/s10676-015-9380-y,Article,"It has been argued that the Internet and social media increase the number of available viewpoints, perspectives, ideas and opinions available, leading to a very diverse pool of information. However, critics have argued that algorithms used by search engines, social networking platforms and other large online intermediaries actually decrease information diversity by forming so-called “filter bubbles”. This may form a serious threat to our democracies. In response to this threat others have developed algorithms and digital tools to combat filter bubbles. This paper first provides examples of different software designs that try to break filter bubbles. Secondly, we show how norms required by two democracy models dominate the tools that are developed to fight the filter bubbles, while norms of other models are completely missing in the tools. The paper in conclusion argues that democracy itself is a contested concept and points to a variety of norms. Designers of diversity enhancing tools must thus be exposed to diverse conceptions of democracy."
Creating a model of the dynamics of socio-technical groups,User Modeling and User-Adapted Interaction,,23,4,10.1007/s11257-012-9122-3,Sean P. GogginsGiuseppe ValettoChristopher MascaroKelly Blincoe,2013,http://link.springer.com/article/10.1007/s11257-012-9122-3,Article,"Individuals participating in technologically mediated forms of organization often have difficulty recognizing when groups emerge, and how the groups they take part in evolve. This paper contributes an analytical framework that improves awareness of these virtual group dynamics through analysis of electronic trace data from tasks and interactions carried out by individuals in systems not explicitly designed for context adaptivity, user modeling or user personalization. We discuss two distinct cases to which we have applied our analytical framework. These two cases provide a useful contrast of two prevalent ways for analyzing social relations starting from electronic trace data: either artifact-mediated or direct person-to-person interactions. Our case study integrates electronic trace data analysis with analysis of other, triangulating data specific to each application. We show how our techniques fit in a general model of group informatics, which can serve to construct group context, and be leveraged by future tool development aimed at augmenting context adaptivity with group context and a social dimension. We describe our methods, data management strategies and technical architecture to support the analysis of individual user task context, increased awareness of group membership, and an integrated view of social, information and coordination contexts."
Educational Networks 2.1,"RUSC, Universities and Knowledge Society Journal",,8,1,10.7238/rusc.v8i1.965,Diego Levis,2011,http://link.springer.com/article/10.7238/rusc.v8i1.965,Article,"The Redes Educativas 2.1 (Educational Networks 2.1) project attempts to investigate the potential of social media and collaborative environments on the Internet for teaching-learning processes. To that end, we used a Web 2.0 application for social network creation on face-to-face courses and on blended-learning teacher training courses. The application was configured in accordance with the pedagogical needs of every course included in the project. A space restricted to course participants was created, and students of the same subject on several courses and/or years were incorporated, as were the lecturers."
Public preferences for engagement in Health Technology Assessment decision-making: protocol of a mixed methods study,BMC Medical Informatics and Decision Making,,15,1,10.1186/s12911-015-0176-0,Sally WortleyAllison TongEmily LancsarGlenn SalkeldKirsten Howard,2015,http://link.springer.com/article/10.1186/s12911-015-0176-0,Article,"Much attention in recent years has been given to the topic of public engagement in health technology assessment (HTA) decision-making. HTA organizations spend substantial resources and time on undertaking public engagement, and numerous studies have examined challenges and barriers to engagement in the decision-making process however uncertainty remains as to optimal methods to incorporate the views of the public in HTA decision-making. Little research has been done to ascertain whether current engagement processes align with public preferences and to what extent their desire for engagement is dependent on the question being asked by decision-makers or the characteristics of the decision. This study will examine public preferences for engagement in Australian HTA decision-making using an exploratory mixed methods design."
An examination of the Internet’s development as a disabling environment in the context of the social model of disability and anti-discrimination legislation in the UK and USA,Universal Access in the Information Society,,12,1,10.1007/s10209-011-0268-2,Catherine Easton,2013,http://link.springer.com/article/10.1007/s10209-011-0268-2,Article,"Research indicates that inaccessible website design persists despite the existence of anti-discrimination legislation and the influence of the social model of disability on policy development. In this paper, the concept of universal access is examined in the light of the social model of disability in relation to both the physical and virtual environments. The manner in which disability is often deemed a design afterthought is highlighted. The need for universal access is then placed alongside a discussion of access to the Internet in relation to an ageing population and people with cognitive difficulties. Subsequently, anti-discrimination provisions are analysed in relation to how they support designers’ focus on an accepted normality to which reasonable adjustments need to be made, rather than the acquisition of full universal access."
Distributing attention across multiple social worlds,AI & SOCIETY,,25,2,10.1007/s00146-009-0251-0,Renate FruchterMarisa Ponti,2010,http://link.springer.com/article/10.1007/s00146-009-0251-0,Article,"Being a member of both local and global teams requires constant distribution and re-distribution of attention, engagement, and intensive communication over synchronous and asynchronous channels with remote and local partners. We explore in this paper the increasing number of social worlds such participants distribute their attention to, how this affects their level of engagement and attention, and how the workspace, collaboration technologies, and interaction modes afford and constrain the communicative events. The use of information and collaboration technologies (ICT) shapes and reshapes work spaces, processes, and social interactions among team members, and team members reshape ICT and the way it is used. We use as a testbed the AEC Global Teamwork course established at Stanford in 1993 in collaboration with universities worldwide and provide examples from two sites—Stanford PBL Lab, California USA and Chalmers University, Goteborg Sweden. We used temporal analysis and qualitative methods of inquiry in order to study participants’ attention, how they used the site and the means, i.e., their social and material resources, to accomplish their interaction needs, and how they engaged throughout project reviews."
Crowdsourcing and cloudsourcing CCTV surveillance,Datenschutz und Datensicherheit - DuD,,37,7,10.1007/s11623-013-0173-3,Burkhard Schafer,2013,http://link.springer.com/article/10.1007/s11623-013-0173-3,Article,"While the continuing proliferation of CCTV surveillance is a cause for concern, its impact on privacy has in the past been mitigated by certain natural limitations on the way CCTV systems operate in practice. In particular, the increased quantity of surveillance data has not been matched by a similar increase in our ability to process and evaluate it. This paper compares different models of technology enabled analysis of CCTV footage, with a focus on the emerging trend of crowdsourced CCTV analysis: in the world of crowdsourced surveillance, “Big Brother is us”."
Knowledge spaces on the internet and Semantic Web (part 1),Scientific and Technical Information Processing,,37,6,10.3103/S0147688210060079,V. F. Khoroshevskii,2010,http://link.springer.com/article/10.3103/S0147688210060079,Article,"A new line of investigation that integrates studies on artificial intelligence and Internet technologies, which is known as the Semantic Web, is presented. A review of the present state of research is given; problems on the establishment of knowledge spaces on the Internet, the means and methods for the extraction of knowledge from texts in natural languages, as well as questions on the use of knowledge spaces in the creation of applied intelligent systems operating on the Internet, are considered."
Big Board: Teleconferencing Over Maps for Shared Situational Awareness,Computer Supported Cooperative Work (CSCW),,23,1,10.1007/s10606-013-9191-9,Jefferson HeardSidharth ThakurJessica LosegoKen Galluppi,2014,http://link.springer.com/article/10.1007/s10606-013-9191-9,Article,"Collaborative technologies for information sharing are an invaluable resource for emergency managers to respond to and manage highly dynamic events such as natural disasters and other emergencies. However, many standard collaboration tools can be limited either because they provide passive presentation and dissemination of information, or because they are targeted towards highly specific usage scenarios that require considerable training to use the tools. We present a real-time gather and share system called “Big Board” which facilitates collaboration over maps. The Big Board is an open-source, web based, real time visual collaborative environment that runs on all modern web browsers and uses open-source web standards developed by the Open Geospatial Consortium (OGC) and WorldWideWeb Consortium (W3C). An evaluation of Big Board was conducted by school representatives in North Carolina for use in situational understanding for school closure decisions during winter weather events. The decision to close schools has major societal impacts and is one that is usually made based on how well a teenage driver could handle wintry precipitation on a road. Collecting information on the conditions of roads is especially critical, however gathering and sharing of this information within a county can be difficult. Participants in the study found the Big Board intuitive and useful for sharing real time information, such as road conditions and temperatures, leading up to and during a winter storm scenario. We have adapted the Big Board to manage risks and hazards during other types of emergencies such as tropical storm conditions."
Raising and Rising Voices in Social Media,Business & Information Systems Engineering,,4,3,10.1007/s12599-012-0210-z,Nitin AgarwalMerlyna LimRolf Wigand,2012,http://link.springer.com/article/10.1007/s12599-012-0210-z,Article,"Emerging cyber-collective social movements (CSMs) have frequently made headlines in the news. Despite their popularity, there is a lack of systematic methodologies to empirically study such movements in complex online environments. Using the Al-Huwaider online campaign as a case to illustrate our methodology, this contribution attempts to establish a rigorous and fundamental analysis that explains CSMs. We collected 150 blogs from 17 countries ranging between April 2003 and July 2010 with a special focus on Al-Huwaider’s campaigns capturing multi-cultural aspects for our analysis. Bearing the analysis upon three central tenets of individual, community, and transnational perspectives, we develop novel algorithms modeling CSMs by utilizing existing collective action theories and computational social network analysis. This article contributes a methodology to study the diffusion of issues in social networks and examines roles of influential community members. The proposed methodology provides a rigorous tool to understand the complexity and dynamics of CSMs. Such methodology also assists us in observing the transcending nature of CSMs with future possibilities for modeling transnational outreach. Our study addresses the lack of fundamental research on the formation of CSMs. This research contributes novel methodologies that can be applied to many settings including business, marketing and many others, beyond the exemplary setting chosen here for illustrative purposes."
A Hyperlink-based Model for the Management of Teaching Documents in a University Centre,International Journal of Educational Technology in Higher Education,,9,2,10.7238/rusc.v9i2.1332,Francisco A. OcañaAna del Moral García,2012,http://link.springer.com/article/10.7238/rusc.v9i2.1332,Article,"Documents containing teaching information (course guides, curricula, rules, etc.) constitute an essential resource in higher education, particularly for students. Their importance has been stressed over the last few years, on the one hand by the creation of the European Higher Education Area (EHEA), which has re-emphasised the need for sources of teaching information, and on the other by the widespread use of information and communication technologies (ICTs), which provide easy access to such sources. Consequently, the management of such documents is now one of the key procedures that university centres need to apply to the organisation of teaching. With this in mind, the main objective of this article is to present a new centre-level model for the management of teaching documents, implemented via a new software package developed for that purpose: SGD2F2. This new model represents an attempt to overcome the drawbacks that many centres experience when using the current model to manage teaching documents. Although this proposal has been developed for a particular faculty, by making a few alterations it could be adapted for use by any university centre or body responsible for the management of teaching."
Health communication in primary health care -A case study of ICT development for health promotion,BMC Medical Informatics and Decision Making,,13,1,10.1186/1472-6947-13-17,Amina Jama MahmudEwy OlanderSara EriksénBo JA Haglund,2013,http://link.springer.com/article/10.1186/1472-6947-13-17,Article,"Developing Information and Communication Technology (ICT) supported health communication in PHC could contribute to increased health literacy and empowerment, which are foundations for enabling people to increase control over their health, as a way to reduce increasing lifestyle related ill health. However, to increase the likelihood of success of implementing ICT supported health communication, it is essential to conduct a detailed analysis of the setting and context prior to the intervention. The aim of this study was to gain a better understanding of health communication for health promotion in PHC with emphasis on the implications for a planned ICT supported interactive health channel."
"What’s mine is mine; what’s yours is mine: private ownership 
of ICTs as a threat to transparency",Ethics and Information Technology,,11,2,10.1007/s10676-009-9196-8,Ronnie CohenJanine S. Hiller,2009,http://link.springer.com/article/10.1007/s10676-009-9196-8,Article,"In the face of ubiquitous information communication technology, the presence of blogs, personal websites, and public message boards give the illusion of uncensored criticism and discussion of the ethical implications of business activities. However, little attention has been paid to the limitations on free speech posed by the control of access to the Internet by private entities, enabling them to censor content that is deemed critical of corporate or public policy. The premise of this research is that transparency alone will not achieve the desired results if ICT is used in a one way system, controlled by the provider of information. Stakeholders must have an avenue using the same technology to respond to and interact with the information. We propose a model that imposes on corporations a public trust, requiring these gatekeepers of communication technology to preserve individual rights to criticism and review."
A content citizen health management system: a tele-health and tele-care prototype portal for the public,Health and Technology,,2,1,10.1007/s12553-012-0018-3,Stella C. ChristopoulouJohn L. Papoutsis,2012,http://link.springer.com/article/10.1007/s12553-012-0018-3,Article,"The main inspiration for the implementation of the Content Citizen Health Management System (CCHMS) is to provide a daily, convenient and easily accessible collaborative supportive environment, which will concern social and personal health and welfare matters, to computer literate citizens and those who desire to use information technology. It is a fact that Health services involving prevention and wellness are changing significantly towards a more citizen-centered, home care notion why not also mobile services via WEB and WAP technologies. In other words, the CCHMS as a portal is fundamentally an integration of health content and services in a functional and intelligent WEB environment via the development of communication channels among citizens and the public and private organizations. The design and the development of the CCHMS are based on open source software and follow the appropriate HITSP [1] and ISO/TR 22221 [2] standards along with HONcode principles [3]. In particular, the CCHM system relies on the creation of a customized portal based on the philosophy of the Knowledge Management and Content Management System (CMS). The CMS supports the creation, management, distribution and the publication of corporate information, used to organize and facilitate the collaborative document creation, and other types of content and powerful tools required to create the infrastructure upon which a dynamic website will be set up. The project’s objective is to create a modern, inexpensive, widespread tool to support access to a healthy lifestyle, by means of monitoring and consulting citizens on issues of prevention, diagnosis, treatment, shared information and collaborative education. Also, the development of a voluntary professional health network enables citizens to improve personalized health-related management according to national and European policies."
Alert based disaster notification and resource allocation,Information Systems Frontiers,,12,1,10.1007/s10796-009-9165-0,Dickson K. W. ChiuDrake T. T. LinEleanna KafezaMinhong WangHaiyang HuHua HuYi Zhuang,2010,http://link.springer.com/article/10.1007/s10796-009-9165-0,Article,"When a disaster occurs, timely actions in response to urgent requests conveyed by critical messages (known as alerts) constitute a vital key to effectiveness. These actions include notifying potentially affected parties so that they can take precautionary measures, gathering additional information, and requesting remedial actions and resource allocation. However, there are different types of disasters such as epidemic outbreaks, natural disasters, major accidents, and terrorist attacks. At the same time, there are also many different parties involved such as governments, healthcare institutions, businesses, and individuals. To address these problems, we introduce a Disaster Notification and Resource Allocation System (DNRAS) based on an Alert Management System (AMS) implemented through Web services. This unified platform supports timely interactions among various parties, focusing on notification and monitoring, resource enquiry and allocation, as well as the mobility of information. We detail the mechanisms of these functions in our system, illustrating the Web services interface parameters for communications and interoperability. We illustrate the applicability of our approach with an example of an epidemic outbreak and discuss the advantage of our approach with respect to various stakeholders of our system."
