Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,URL,Booktitle,Chapter,Abstract
doi:10.1108/S2044-9968(2013)000006F011,"Matias, Audeliz; Aird, Sheila M. & Wolf, David F.",Innovative Teaching Methods for Using Multimedia Maps to Engage Students at a Distance,,,,,215-234,,http://www.emeraldinsight.com/doi/abs/10.1108/S2044-9968%282013%29000006F011,"Increasing Student Engagement and Retention using Multimedia Technologies: Video Annotation, Multimedia Applications, Videoconferencing and Transmedia Storytelling",13,"Advances in geospatial technology, web map interfaces, and other Web 2.0 tools provide new opportunities for educators to engage students in critical thinking, problem-solving, and collaborative skills. Although little attention has been given to learning from maps in higher education, knowledge of space is critical to attitudes and decision making as global citizens. Additionally, the ability to easily create multimedia maps offers new educational affordances for students at a distance and has the potential to link geographic and cultural understanding within the context of a variety of disciplines. We discuss the development of a mapping and blogging interactive learning environment, MapBlog, as a visual platform for representing information spatially. In this chapter, the MapBlog will be discussed as an interactive learning environment and as a visual platform for representing information spatially. We present and discuss four MapBlog categories: external content, student-created content, static content, and thematic."
doi:10.1108/S2043-052320150000007008,"McQueen, David",CSR and New Battle Lines in Online PR War: A Case Study of the Energy Sector and its Discontents,,,,,99-125,,http://www.emeraldinsight.com/doi/abs/10.1108/S2043-052320150000007008,Corporate Social Responsibility in the Digital Age,11," Abstract  Purpose The focus of the chapter is on disputes around corporate social responsibility (CSR) in the fossil fuel industry and how media and social networking technologies are deployed in a virtual war between oil corporations and dissident, activist and protest groups.   Methodology/approach Communications by BP, Shell, and their opponents in this virtual war are compared, especially in relation to the creative use of the internet, digital technologies, and social media. Through a case study approach, the chapter shows how communications often center on contested notions of CSR and claims by the oil giants about their environmental impact, which opponents dismiss as “greenwashing.” The various techniques deployed by both sides in this wide-ranging “PR war” are explored and contrasted in detail.   Findings The findings for each case study reveal the diverse, complex, and changing nature of the relationship between the oil industry and its critics. The chapter concludes by arguing that if CSR is seen as “greenwashing” by the public, it is only likely to fuel widespread skepticism of the oil and gas sector and of corporate claims about the environment more generally.   Research limitations/implications The research offers a snapshot of online and social media campaigns and PR strategies and tactics within the oil and gas industry rather than empirically grounded set of findings that can be easily applied to other fields.   Practical implications Practical implications include attention to inflated or understated claims and the use of citizen testimony and humor to puncture CSR “rhetoric.” There is consideration of use of digital technologies by activists and attention to the way public debates and consultations are conducted. The need for a more respectful engagement with local communities by all parties engaging in public relations is underlined.   Originality/value The chapter applies the concept of “asymmetrical warfare” from conflict studies within the media and communications tradition to provide a fresh revaluation of the term “PR war,” It offers a rare focus on online efforts by activist to subvert CSR-related branding, marketing, and communications. Discussion of the use of parody alongside factual and emotional arguments to challenge corporate hegemony also provides revealing insights.  "
doi:10.1108/14720701011021148,"Midttun, Atle",Montesquieu for the twenty‐first century: factoring civil society and business into global governance,Corporate Governance: The international journal of business in society,10,1,,97-109,2010," http://dx.doi.org/10.1108/14720701011021148 
",,,"The author is grateful to Hilde Nordbø for assistance with interviews and preparing much of the EITI material, and to Jonas Moberg and Anders Tunold Kråkenes; the EITI secretariat, Sefton Darby; former DFID and World Bank and Alan Dethridge, former VP External Affairs, Exploration and Production, Shell, for comments on the final version.Received 20 June 2009Revised 15 September 2009Accepted 10 October 2009"
doi:10.1108/QRJ-01-2013-0001,"Mishra, Pavitra; Gupta, Rajen & Bhatnagar, Jyotsna",Grounded theory research: Exploring work-family enrichment in an emerging economy,Qualitative Research Journal,14,3,,289-306,2014," http://dx.doi.org/10.1108/QRJ-01-2013-0001 
",,,"Purpose – The purpose of this paper is to explore the phenomenon of work-to-family enrichment in totality. Using grounded theory, the study aims to understand antecedents, moderators, and consequences of work-to-family enrichment. This study also investigates strategies adopted by individuals to enhance their work-family enrichment experience. Design/methodology/approach – The paper opted for an exploratory study using the open-ended approach of grounded theory. This paper builds a model to understand the phenomenon by applying Strauss and Corbin's (1990) “paradigm model” approach of grounded theory. The paper throws light on the key tenets of grounded theory research and explains use of grounded theory as a rigorous method for business research. Data were collected by taking 24 in-depth interviews with employees representing middle management segment of consulting, IT and FMCG firms in India. Findings – This study reports “perceived work-family culture” of an organization as an antecedent of “work-to-family enrichment.” It also finds “community resources” and “family role salience” as significant contributors in enriching the experience of professionals. Work-to-family enrichment experience has positive influence on “employer brand attraction” and “organizational citizenship behavior” and has negative influence on “intention to quit.” The study has also added to the literature by identifying Psychological Capital as one of the consequences. The study has highlighted segmentation, i.e. by maintaining work and family boundaries, support from extended family members or close friends, engaging in activities that provides happiness and personal peace like being a part of NGO, time management and scheduling, engaging in shopping and availing community facilities like good day cares as major strategies used by Indian professionals to enhance their work-to-family enrichment. Research limitations/implications – The study demonstrates application of grounded theory for understanding a phenomenon holistically. It is one of its kinds of study conducted to understand work-to-family enrichment. Practical implications – This is a unique study, where attempts have been made to understand and integrate work-to-family enrichment phenomenon in totality. The paper provides insights to the managers about the importance of suitable work-family culture and other factors to ensure successful implementation of work-family policies. The paper also identifies strategies adopted by individuals to attain work-family enrichment. Social implications – Demographic shifts, changing market and economic trends, technological advances and competitive forces have made work-family interface an important issue for both academicians and practitioners. In India, these changes can be experienced in terms of demographic profile of work force. Changes in the definitions of work and family, shifting family structure, changing profile of work (due to technological advancement, women empowerment, etc.) are transforming the work-family interactions in emerging economies. According to Hewitt's Attrition and Retention Asia Pacific Study, the need for a balance between work and personal life has become an integral element of employee's expectations from their work organization. Originality/value – This paper fulfils an identified need to study and explore positive side of work-family interface especially in emerging economies like India. This is the first attempt to study the relationships in the work-family domain from a grounded theory approach in Indian context and probably one of the first few in the literature."
doi:10.1108/JPMD-06-2014-0008,"Parker, Cathy; Ntounis, Nikos; Quin, Simon & Grime, Ian",High Street research agenda: identifying High Street research priorities,Journal of Place Management and Development,7,2,,176-184,2014," http://dx.doi.org/10.1108/JPMD-06-2014-0008 
",,,"Purpose – The purpose of this short article is to outline a research agenda to further our understanding of how retail areas are influenced by, and adapt to, change. This is part of an Economic and Social Research Council-funded project High Street UK 2020. Design/methodology/approach – We outline a research agenda – containing factors which High Street stakeholders in Alsager, Altrincham, Ballymena, Barnsley, Bristol, Congleton, Holmfirth, Market Rasen, Morley and Wrexham have identified as influencing the vitality and viability of their retail areas. Currently, there is little or no academic evidence available to support these factors; therefore, they are worthy of further research. Findings – The towns assert that the following factors influence High Street performance (either positively or negatively) and need further research: business support; engagement and engaged businesses; fragmentation; information; Internet connectivity; local knowledge; measuring economic impact/value; media coverage; networking; public sector dependency and risk aversion. Research limitations/implications – Only 10 towns have taken part in the research. Nevertheless, they are representative of the research-user community for retail centre research. Practical implications – This research agenda will enable researchers to respond to a clear gap in our knowledge about High Street performance, as identified by towns themselves. Social implications – By undertaking the research that people that manage retail areas need, it will enable practitioners to make better informed decisions and manage these important areas more effectively to the benefit of their local communities. Originality/value – By allowing town centre managers, traders, council members/officials and “concerned citizens” to set the agenda for research production in the area of retail centre change, we anticipate forthcoming research in this area will be more highly valued by practitioners and have more impact in “the real world”."
doi:10.1108/S1745-8862(2013)0000008018,"Ritvala, Tiina; Andersson, Per & Salmi, Asta",MNE and multiple embeddedness: A case study of MNE–NGO collaboration in saving the Baltic Sea,,,,,293-321,,http://www.emeraldinsight.com/doi/abs/10.1108/S1745-8862%282013%290000008018,International Business and Sustainable Development,17," Abstract  Purpose This chapter analyses the multiple embeddedness of MNEs, and their participation in solving contemporary societal issues. We aim to increase understanding on the relational processes and network dynamics present in MNEs’ participation in cross-sector partnerships.   Design/methodology/approach Our study addresses the issue of the poor ecological state of the Baltic Sea and illustrates the early developments in cross-sector collaboration. We build on a single exploratory case study of the cooperation of one MNE (IBM) with an environmental NGO (BSAG) in Finland. We analyse how participation in the cross-sector collaboration manifests itself in the external and internal networks of the MNE.   Findings We show that an initiative by the NGO to participate in environmental work was actively adopted within the MNE and led to network changes. These changes concerned both the activation of existing links and the establishment of new links with such actors as authorities and research institutes. The NGO acted as a catalyser and cultural mediator to create a bridge between the MNE and governmental actors.   Research implications There is a need to investigate cross-sector collaboration in other contexts – particularly from the perspective of MNEs and (international) business networks. Questions such as how do enduring (business and socio-political) relationships emerge from MNE’s participation in issue networks and how technology that has been developed to solve a specific societal issue may be translated into commercial solutions are especially promising. We also urge scholars to investigate the ties, texture and dynamics (including tensions) of business relationships with those of public actors and civil society.   Practical implications Participation in cross-sector initiatives may grant an MNE a forerunner position in the creation of new sustainable markets and technologies. It may also create an opportunity to influence policymakers and build new socio-political networks. From the perspective of a subsidiary of an MNE, engagement with cross-sector partnerships may strengthen its voice within the MNE network.   Originality/value Our study contributes to the understanding of the relationship dynamics between actors in cross-sector collaboration around a societal (environmental) issue. Our analysis illustrates the embeddedness of MNE networks, where actions in the regional and global networks (the representatives of the headquarters) overlap with and strengthen the local actions of the subsidiary.  "
doi:10.1108/QROM-08-2013-1172,"Rolandsson, Bertil",Partnerships with the police – logics and strategies of justification,Qualitative Research in Organizations and Management: An International Journal,10,1,,2-20,2015," http://dx.doi.org/10.1108/QROM-08-2013-1172 
",,,"Purpose – Political reforms call for new types of public-private or community partnerships, in which public services are shaped in collaboration with networks of public, business or non-governmental organizations. The purpose of this paper is to investigate how municipal partners justify and thereby maintain partnerships with the police. Design/methodology/approach – The empirical material comprises documents and 26 semi-structured interviews with civil servants, politicians, and police staff. This qualitative study investigates three Swedish municipalities engaged in partnerships with the same police authority. Findings – Based on Boltanski and Thévenot’s order of worth, the paper describes how municipal partners manage two partly contradictory arrangements; one constituted by industrial and civic logics, and one constituted by domestic and industrial logics. Guided by these two different arrangements, they justify and thereby maintain their partnership with the police by alternating between a compromising strategy promoting adaptation to the police and a compensating strategy stating that they are independent partners with demands on the police. Research limitations/implications – This is a qualitative study that needs further confirmation before general conclusions can be drawn. Still, it suggests that partners justify themselves by making claims on being both collaborative and independent within these partnerships. Originality/value – Unlike research investigating how authorities initiate partnerships to organize integrated and cost-efficient public services, the paper highlights how partners justify their participation by alternating between two rather different but linked justifying strategies. The study applies a justificatory logic perspective that helps us understand that complex and sometimes contradictory arrangements of logics, which could threaten partner participation, also enable them to justify and thereby maintain their partnership with the police. Unlike institutional studies describing how tensions challenge organizational legitimacy this study describes how justificatory strains remain even when partners are able to justify their participation."
doi:10.1108/17410391111106301,"Sajjad, Farhana; Lee, Habin; Kamal, Muhammad & Irani, Zahir",Workflow technology as an e‐participation tool to support policy‐making processes,Journal of Enterprise Information Management,24,2,,197-212,2011," http://dx.doi.org/10.1108/17410391111106301 
",,,"The research leading to these results received funding from the European Community's 7th Framework Programme (FP7, 2007‐2013), ICT, under grant agreement No. INFSO‐ICT‐248010 (UbiPOL project)."
doi:10.1108/JHOM-12-2014-0202,"Samorinha, Catarina; Lichon, Mateusz; Silva, Susana & Dent, Mike",User involvement in assisted reproductive technologies: England and Portugal,Journal of Health Organization and Management,29,5,,582-594,2015," http://dx.doi.org/10.1108/JHOM-12-2014-0202 
",,,"Purpose – The purpose of this paper is to compare user involvement in the case of assisted reproductive technologies in England and Portugal through the concepts of voice, choice and co-production, assessing the implications for user empowerment. Design/methodology/approach – This qualitative study draws primarily on policy review and uses exploratory semi-structured interviews with key informants as a way of illustrating points. Data on the following themes was compared: voice (users’ representativeness on licensing bodies and channels of communication between users and doctors); choice (funding and accessibility criteria; choice of fertility centres, doctors and level of care); and co-production (criteria through which users actively engage with health professionals in planning the treatment). Findings – Inter- and intra-healthcare systems variations between the two countries on choice and co-production were identified. Differences between funding and accessibility, regions, public and private sectors and attitudes towards doctor-patient relationship (paternalistic/partnership) were the key issues. Although consumer choice and indicators of co-production are evident in treatment pathways in both countries, user empowerment is not. This is limited by inequalities in accessibility criteria, dependence on doctors’ individual perspectives and lack of genuine and formal hearing of citizens’ voice. Originality/value – Enhancing users’ involvement claims for individual and organizational cultures reflecting user-centred values. Effective ways to incorporate users’ knowledge in shared decision making and co-design are needed to empower patients and to improve the delivery of care."
doi:10.1108/S0161-72302015000030A016,"Silvius, Ray",Understanding Eurasian Integration and Contestation in the Post-Soviet Conjuncture: Lessons from Geopolitical Economy and Critical Historicism,,,,,235-258,,http://www.emeraldinsight.com/doi/abs/10.1108/S0161-72302015000030A016,Theoretical Engagements in Geopolitical Economy,13," Abstract The purpose of this paper is to examine processes of Eurasian integration and the veritable ‘culture war’ between Russia and the West over it, while contributing to the theoretical paradigm of geopolitical economy. This paradigm invites us to consider the multiple manifestations of an emerging multipolar world order while scrutinising the extent to which previously popular approaches to the study of international political economy were themselves enmeshed in projects, the architects of which aspired to global hegemony. The paper employs critical historicism, an approach in which cultural difference is seen as the sedimentation of historically constituted material and ideational processes and which eschews cultural essentialism and orientalising tropes. It is through this lens that Russian state attempts at normalising Eurasian integration processes are examined. I demonstrate that Russian state organs and officials, as well as ‘political technologists’ attempt to de-politicise processes of Eurasian integration by appealing to both the logic of cultural/civilisational compatibility of affected parties, as well as the logic of economic integration. Such portrayals invite scrutiny; however, it is important that we also consider how Eurasian integration initiatives are the product of a post-Soviet struggle over Eurasian space but represent something more than mere neo-Soviet revisionism. The paper demonstrates its originality by situating ongoing processes of Eurasian integration within the longer post-Soviet conjuncture and amid processes of international contestation. Moreover, it situates Russian officials and political technologists as active contributors to international debates about the emerging multipolar world order. "
doi:10.1108/MEQ-08-2013-0093,"Sim, Yeong Liang & Putuhena, Frederik Josep",Green building technology initiatives to achieve construction quality and environmental sustainability in the construction industry in Malaysia,Management of Environmental Quality: An International Journal,26,2,,233-249,2015," http://dx.doi.org/10.1108/MEQ-08-2013-0093 
",,,"Purpose – The purpose of this paper is to identify mechanisms and approaches involved in the local construction industry to enhance environmental concerns and the adoption of capacity development model to manage the environment and up keeping of the quality in Malaysian construction industry. Design/methodology/approach – This paper describes an innovative approach to understanding the role of internal and external influence through LEGO® concept. This approach builds on the theory of change management, in which includes learning about the domain of enabling environment, organisation, individual and knowledge management process. New ideas, practices or technologies occur through integration of efforts particularly from the above mentioned domains. The approach also analyses the challenges faced by construction stakeholders. It draws on findings from different studies including some other countries of sustainability in which the engagement of previous research has been incorporated to further enhance the construction and environmental quality in the Malaysian construction industry. Findings – Environmental sustainable development construction requires a holistic thinking and decision making and more innovative solutions that enhance sustainability and result in mutually benefited outcomes for all stakeholders. A dedicated effort especially government and government link company is in strong demand. A valid reason for capacity development to develop in organisations and individuals to perform functions needed to keep green management operating and evolving to meet new challenges. The construction sector will benefit from learning advances in capacity development which are designed to improve and enhance construction and environmental quality governance. The coverage of LEGO® conceptual framework at which capacity development operates was identified in each domain of change management. Research limitations/implications – A limitation of the study was the relatively little literature information provided and thus affects the expounding and reliability of data. For this reason, these findings cannot be generalised to the other countries based on this study alone. The access to information is limited as public and private organisations hesitate to share information on their strategic planning and tactics. Originality/value – Development of capacity development model will contribute to the understanding of environmental sustainability through identifying gaps in the understanding and pursuit of construction and environmental quality in the Malaysian construction industry. This paper suggests the future prospect that integrates several dimensions towards green management practice in Malaysia."
doi:10.1108/IJSHE-11-2013-0147,"Soares, Nelson; Pereira, Luísa Dias; Ferreira, João; Conceição, Pedro & da Silva, Patrícia Pereira",Energy efficiency of higher education buildings: a case study,International Journal of Sustainability in Higher Education,16,5,,669-691,2015," http://dx.doi.org/10.1108/IJSHE-11-2013-0147 
",,,"Purpose – This paper aims to propose an energy efficiency plan (with technical and behavioural improvement measures) for a Portuguese higher education building – the Teaching Building of the Faculty of Economics of the University of Coimbra (FEUC). Design/methodology/approach – The study was developed in the context of both the “Green Campus – Challenge for Energy Efficiency in Higher Education” and the Energy for Sustainability Initiative of the University of Coimbra, Portugal. An energy audit was conducted based on the analysis of the energy consumption profiles. A monitoring campaign was carried out to measure and disaggregate the electricity consumption. The consumption of natural gas and water were also assessed. The building envelope and the heating and lighting systems were also evaluated. Some patterns of energy-environmental behaviours of the academic community were investigated through a Web-based survey. Findings – The energy efficiency plan contemplates short-term tangible/intangible actions. It also considers the investment and payback period of the tangible measures. The implementation of three improvement measures in the lighting system would lead to a consumption reduction of about 26,123 kWh/year, avoiding the emission of 3,704 KgCO2/year, for an initial cost of 9,920 (payback period of 3.7 years). Research limitations/implications – Results are restricted to the case study and there are limitations in their generalisation outside of their context. However, they show some broadly implications and trends that have relevance for the higher education sector. This paper highlights the importance of engaging students, faculty and technical staff for working together on the assessment of the energy efficiency of the buildings where they study and work. Social implications – The higher education sector holds important functions in educating the next generation of professionals for a sustainable culture. The categories of activities described in this paper are good examples of what can be done within the academic community for acting towards sustainability. The results also pointed out that making users aware of their energy consumption is a priority towards the energy efficiency in higher education buildings. Originality/value – Reductions on energy consumption are expected if the energy efficiency plan would be implemented. The results of the behavioural study were presented to the FEUC’s board of directors to be integrated in the “Good Practices Manual on Water and Energy Management”."
doi:10.1108/SAMPJ-Oct-2012-0034,"Solomon, Lauren & Nelson, Tim",Energy for Life – an evidence‐based approach to corporate citizenship,"Sustainability Accounting, Management and Policy Journal",4,2,,236-258,2013," http://dx.doi.org/10.1108/SAMPJ-Oct-2012-0034 
",,,"The authors are grateful to Cameron Reid, Manager Hardship and Social Policy, for sharing his expertise with them in revitalising Energy for Life. All errors and omissions remain entirely the responsibility of the authors."
doi:10.1108/JHOM-08-2012-0150,"Støre-Valen, Marit; Larssen, Anne Kathrine & Bjørberg, Svein",Buildings’ impact on effective hospital services: The means of the property management role in Norwegian hospitals,Journal of Health Organization and Management,28,3,,386-404,2014," http://dx.doi.org/10.1108/JHOM-08-2012-0150 
",,,"Purpose – The purpose of this paper is to assess the status of the physical assets of Norwegian hospital facilities in terms of technical condition, building performance, usability and adaptability, thereby comprehending the main challenges for property management as part of facilities management (FM) within hospitals of the Norwegian Specialist Health-Care Services and permitting a discussion on a more strategic property management role. Design/methodology/approach – The research is based on an action research approach using data collection from surveys, schemes and questionnaires, literature studies, documentation analysis and workshops with an active research team involvement with stakeholders. In-depth interviews were undertaken with owner representatives, property management representatives and health-care deliverers, and a GAP analysis allowed a study of the quality of property management (as part of the FM). Findings – A severe technical backlog was documented together with a strong demand for structural upgrading, which was roughly estimated to be approximately 30-35 billion NOK in 2012 (3.75-4.4 billion euros). Improvements are necessary in all areas of FM delivery within limited economic frameworks, even though several examples of good property management (as part of FM delivery) were found. A gap exists between the general strategy concerning hospital assets and the property management role, particularly with regard to the translation of change in user needs into changed facilities. A need for an increasing professionalization of the role is pressing, turning attention from operational costs and control to potential added value. This requires a shift of focus from the property manager in order to implement visions and goals for the health-care sector, which involves several actions such as an improved communication between stakeholders and technically improved skills, thus ensuring the recruitment and capability of property management staff and improved measurement processes. Practical implications – This paper give two major recommendations: first, a stronger integration of the property management role as part of the FM delivery with the executive management of the Health Authorities and Regional and Local Health Trusts; and second, a nationally coordinated strategy for the development of property management in the Specialist Health-Care Services (called Strategic FM). The authors believe that developing a pool of competencies at the national level is necessary to develop the tools, methods and standardized measurements to enable a change in the use of the terms of added value and sustainability. Ultimately, this will enhance the assets of the health sector, and this paper suggests a model that allows for this development. Originality/value – This paper shows a model for property management as a strategic role in a holistic process involving all stakeholders from both the bottom up and the top down. The authors believe this process will engage the stakeholders in agreeing upon a clear vision and set of goals for the health-care service assets."
doi:10.1108/09593841111137359,"Thompson, Terrie Lynn",Work‐learning in informal online communities: evolving spaces,Information Technology \& People,24,2,,184-196,2011," http://dx.doi.org/10.1108/09593841111137359 
",,,"Purpose – This paper seeks to explore how workers engage in informal online communities for work‐learning. Although online communities may facilitate learning and knowledge creation, much of the literature is situated in formal online courses, suggesting a need to better understand the nuances of more informal learning spaces online.Design/methodology/approach – Semi‐structured interviews were conducted with 11 own‐account self‐employed workers (contractors and consultants who do not have staff).Findings – Participants engaged in ways that fit with expectations, leveraged fluidity, played with boundaries, and meshed with work. These workers attempted to (re)configure online spaces to create the degree of connection and learning needed, although not always successfully. This study explores how participants participated in much less pedagogically inscribed spaces and foregrounds several issues related to online engagement: managing exposure, force‐feeding community, and navigating multi‐purpose spaces.Research limitations/implications – There are indications that these workers are moving toward more networked architectures of online participation. How the notion of online community continues to evolve warrants further research.Practical implications – Although turning to an online community is sometimes the only viable learning option, online presence brings challenges to be addressed by practitioners and policy makers, including attending to the nature of relationships in and between different cyberspaces, information and media literacies required, and the implications of such extensive connectivity between people and their web‐technologies.Originality/value – By exploring how adults reach out to others in “informal” online communities for learning purposes, this paper encourages researchers, practitioners, policy makers, and citizens to consider tensions and questions associated with cyberspace collectives."
doi:10.1108/SD-09-2014-0110,"Totterdill, Peter & Exton, Rosemary",Work and organisations in 2020: The future we want?,Strategic Direction,30,9,,4-7,2014," http://dx.doi.org/10.1108/SD-09-2014-0110 
",,,"Purpose – The report aims to make the case for workplace innovation in an increasingly volatile global environment and outlines the opportunities for the creative and rewarding work that it affords. Work and Organisations in 2020 argues that workplace innovation has a major impact on both the performance of the enterprise and on national economic competitiveness. It boosts productivity, quality and innovation, by making better use of workforce talent and has a profound effect on employees’ learning and development, health, well-being, ageing and wider roles as citizens. Design/methodology/approach – Keys issues include: the intrinsic value of work; sustainable workplaces; harmonising technological innovation and human potential; entrepreneurship and developing and utilising skills. Findings – The paper considers challenges to sustainable and effective change, and key issues concerning the way forward including responsible globalisation, new roles for public policy, new roles for trade unions and employers’ organisations, a new labour market perspective, listening to the voice of employees and realising the promise of employee ownership. Originality/value – The report concludes that there is a way towards a more coherent UK approach to renewing the employment agenda in the UK: an agenda that has often been somewhat fragmented and lacking in a strategic focus capable of guiding the efforts of different actors. At the heart of these values is a commitment to sustainable improvement in economic performance and social well-being, and an explicit rejection of short-termism."
doi:10.1108/00251740910929696,"Walters, Geoff & Chadwick, Simon",Corporate citizenship in football: delivering strategic benefits through stakeholder engagement,Management Decision,47,1,,51-66,2009," http://dx.doi.org/10.1108/00251740910929696 
",,,"Purpose – The purpose of this paper is to explain that corporate citizenship refers to the specific activities that an organisation engages in to meet social obligations, and which has become an issue of growing importance within the business community. A key area in academic literature concentrates on justifying corporate citizenship initiatives to the corporate sector by illustrating a range of strategic benefits that a firm can achieve. This study is located within this body of work and aims to illustrate the strategic benefits that a football club can gain from the implementation of corporate citizenship activities through the community trust model of governance.Design/methodology/approach – The study draws from qualitative primary and secondary data gathered from Charlton Athletic and Brentford football clubs.Findings – Analysis of the data resulted in the identification of six strategic benefits that a football club can realise through the creation of a community trust model of governance. These are the removal of commercial and community tensions; reputation management; brand building; local authority partnerships; commercial partnerships; and player identification.Research limitations/implications – The paper considers the importance of these findings for a generic business audience, discussing how organisations can also benefit from the creation of partnerships with football clubs focused on the delivery of corporate citizenship initiatives.Practical implications – The paper provides information regarding the application of management practice evident in football to other forms of business organisation.Originality/value – The paper is the first to consider how corporate citizenship initiatives in football can assist firms in other sectors to achieve a range of strategic benefits."
doi:10.1108/14754391011078054,"Winston, Sally",Using technology to connect with people on employee engagement,Strategic HR Review,9,6,,5-10,2010," http://dx.doi.org/10.1108/14754391011078054 
",,,"Purpose – In 2008, the UK Civil Service took the decision to bring together all departments' staff satisfaction surveys, creating an overarching employee engagement survey across the entire civil service. Infogroup/ORC International was charged with the unprecedented task of organizing and implementing this survey, ensuring that it met the complex requirements of Civil Service managers. This paper aims to focus on this initiative.Design/methodology/approach – It was critical to understand the challenges associated with communicating a survey and its results to such a large and diverse population. Through the use of user‐centered design, client‐panels and best practice, ORC International designed an online tool, called “highlights,” to meet the Civil Service's needs, ensuring that the survey and its findings achieved the outlined aims.Findings – Since its launch, highlights has received over 300,000 hits, demonstrating the importance placed on the Civil Service People Survey and the success of the tool in communicating the survey results in an effective, user‐friendly format. Analysis of the use of the tool has shaped the future development, in preparation for the 2010 survey.Originality/value – The paper discusses the challenges associated with communicating a survey and its results to such a large and diverse population."
